Red,Green,Blue
0.458,0.316,0.225
0.465,0.319,0.215
0.469,0.318,0.213
0.470,0.320,0.211
0.468,0.321,0.211
0.468,0.324,0.207
0.469,0.324,0.208
0.476,0.320,0.204
0.470,0.326,0.204
0.471,0.323,0.206
0.478,0.319,0.203
0.476,0.317,0.207
0.473,0.318,0.209
0.471,0.316,0.213
0.472,0.314,0.214
0.475,0.309,0.216
0.476,0.311,0.213
0.470,0.325,0.205
0.472,0.321,0.206
0.471,0.320,0.209
0.466,0.322,0.212
0.469,0.319,0.211
0.473,0.318,0.209
0.479,0.313,0.209
0.474,0.314,0.211
0.468,0.317,0.215
0.467,0.315,0.218
0.469,0.312,0.219
0.467,0.318,0.215
0.468,0.323,0.209
0.473,0.320,0.207
0.471,0.324,0.206
0.472,0.321,0.207
0.469,0.328,0.203
0.472,0.325,0.202
0.475,0.319,0.206
0.473,0.321,0.206
0.471,0.318,0.212
0.473,0.317,0.210
0.472,0.319,0.209
0.470,0.317,0.213
0.475,0.315,0.210
0.477,0.314,0.209
0.475,0.312,0.213
0.479,0.312,0.208
0.476,0.319,0.205
0.475,0.324,0.201
0.476,0.325,0.199
0.476,0.321,0.202
0.470,0.321,0.208
0.471,0.316,0.213
0.468,0.322,0.211
0.477,0.314,0.209
0.470,0.325,0.205
0.474,0.322,0.204
0.476,0.320,0.204
0.478,0.316,0.206
0.476,0.315,0.210
0.470,0.313,0.217
0.462,0.319,0.218
0.463,0.321,0.216
0.463,0.322,0.215
0.467,0.322,0.211
0.468,0.326,0.206
0.470,0.325,0.205
0.472,0.324,0.204
0.475,0.326,0.199
0.476,0.324,0.200
0.472,0.319,0.208
0.469,0.324,0.207
0.469,0.322,0.210
0.468,0.323,0.209
0.471,0.318,0.210
0.472,0.317,0.211
0.479,0.308,0.214
0.484,0.301,0.215
0.486,0.306,0.207
0.481,0.318,0.202
0.475,0.326,0.199
0.482,0.319,0.199
0.482,0.319,0.199
0.479,0.317,0.204
0.467,0.320,0.213
0.473,0.315,0.212
0.485,0.313,0.201
0.475,0.319,0.206
0.481,0.319,0.200
0.483,0.308,0.208
0.476,0.311,0.214
0.469,0.306,0.224
0.462,0.317,0.221
0.458,0.322,0.220
0.466,0.321,0.214
0.474,0.319,0.207
0.476,0.315,0.210
0.483,0.317,0.200
0.488,0.312,0.200
0.481,0.319,0.200
0.482,0.314,0.204
0.473,0.321,0.207
0.468,0.321,0.211
0.470,0.319,0.211
0.466,0.319,0.215
0.451,0.316,0.233
