Red,Green,Blue
0.315,0.315,0.369
0.288,0.318,0.394
0.278,0.325,0.397
0.278,0.322,0.400
0.283,0.321,0.396
0.283,0.321,0.396
0.288,0.317,0.394
0.284,0.324,0.392
0.286,0.316,0.398
0.282,0.320,0.398
0.275,0.324,0.402
0.276,0.322,0.402
0.276,0.329,0.395
0.274,0.329,0.397
0.282,0.321,0.397
0.278,0.319,0.403
0.273,0.318,0.409
0.288,0.318,0.394
0.299,0.313,0.388
0.299,0.313,0.388
0.300,0.317,0.383
0.281,0.316,0.404
0.266,0.328,0.406
0.282,0.321,0.397
0.289,0.316,0.395
0.267,0.317,0.417
0.274,0.323,0.403
0.284,0.328,0.388
0.298,0.316,0.386
0.269,0.327,0.404
0.259,0.333,0.407
0.250,0.333,0.417
0.258,0.333,0.409
0.273,0.325,0.403
0.277,0.325,0.398
0.273,0.330,0.398
0.267,0.333,0.400
0.254,0.338,0.408
0.254,0.339,0.407
0.259,0.333,0.407
0.265,0.327,0.408
0.271,0.322,0.407
0.282,0.324,0.394
0.284,0.324,0.392
0.267,0.333,0.400
0.271,0.329,0.400
0.273,0.325,0.403
0.275,0.319,0.406
0.277,0.323,0.400
0.274,0.323,0.403
0.286,0.321,0.393
0.286,0.327,0.388
0.283,0.326,0.391
0.267,0.333,0.400
0.265,0.327,0.408
0.268,0.321,0.411
0.284,0.313,0.403
0.288,0.322,0.390
0.275,0.314,0.412
0.276,0.328,0.397
0.281,0.328,0.391
0.296,0.324,0.380
0.291,0.327,0.382
0.262,0.328,0.410
0.258,0.333,0.409
0.265,0.324,0.412
0.269,0.321,0.410
0.274,0.321,0.405
0.284,0.330,0.386
0.289,0.322,0.389
0.293,0.326,0.380
0.295,0.330,0.375
0.293,0.320,0.387
0.278,0.329,0.392
0.267,0.333,0.400
0.266,0.328,0.406
0.264,0.321,0.415
0.268,0.321,0.411
0.277,0.323,0.400
0.284,0.313,0.403
0.288,0.315,0.397
0.269,0.321,0.410
0.280,0.320,0.400
0.282,0.321,0.397
0.278,0.316,0.405
0.284,0.324,0.392
0.287,0.325,0.387
0.294,0.318,0.388
0.303,0.316,0.382
0.299,0.313,0.388
0.286,0.327,0.388
0.286,0.333,0.381
0.264,0.321,0.415
0.277,0.323,0.400
0.286,0.317,0.397
0.273,0.327,0.400
0.279,0.328,0.393
0.288,0.329,0.384
0.286,0.329,0.386
0.269,0.328,0.403
0.273,0.325,0.403
0.270,0.326,0.404
0.263,0.326,0.411
0.263,0.333,0.404
0.268,0.330,0.402
0.275,0.333,0.392
0.277,0.327,0.396
0.273,0.330,0.398
0.259,0.333,0.407
0.257,0.329,0.414
0.268,0.324,0.408
0.274,0.329,0.397
0.278,0.329,0.392
0.270,0.324,0.405
0.267,0.326,0.407
0.278,0.322,0.400
0.284,0.321,0.394
0.313,0.320,0.367
0.330,0.315,0.355
