Red,Green,Blue
0.513,0.235,0.252
0.530,0.217,0.252
0.542,0.208,0.250
0.550,0.208,0.242
0.548,0.209,0.243
0.545,0.214,0.241
0.552,0.208,0.240
0.548,0.215,0.237
0.550,0.213,0.237
0.542,0.217,0.241
0.514,0.230,0.257
0.464,0.261,0.275
0.479,0.268,0.254
0.518,0.241,0.241
0.542,0.219,0.240
0.533,0.222,0.244
0.505,0.242,0.253
0.489,0.255,0.255
0.506,0.241,0.253
0.515,0.235,0.250
0.492,0.246,0.262
0.475,0.262,0.262
0.492,0.246,0.262
0.523,0.231,0.246
0.538,0.215,0.246
0.547,0.203,0.250
0.551,0.203,0.246
0.545,0.208,0.247
0.547,0.209,0.244
0.540,0.218,0.241
0.538,0.220,0.242
0.548,0.215,0.237
0.559,0.204,0.237
0.552,0.208,0.240
0.547,0.209,0.244
0.552,0.207,0.241
0.538,0.215,0.247
0.533,0.217,0.250
0.516,0.231,0.253
0.488,0.250,0.262
0.479,0.260,0.260
0.481,0.260,0.260
0.519,0.234,0.247
0.538,0.225,0.237
0.538,0.225,0.237
0.521,0.233,0.247
0.509,0.246,0.246
0.476,0.262,0.262
0.455,0.273,0.273
0.474,0.263,0.263
0.488,0.268,0.244
0.528,0.222,0.250
0.545,0.212,0.242
0.528,0.222,0.250
0.561,0.195,0.244
0.585,0.189,0.226
0.571,0.190,0.238
0.559,0.206,0.235
0.558,0.208,0.234
0.564,0.205,0.231
0.558,0.208,0.234
0.577,0.197,0.225
0.577,0.197,0.225
0.565,0.203,0.232
0.565,0.203,0.232
0.562,0.205,0.233
0.553,0.211,0.237
0.544,0.215,0.241
0.531,0.222,0.247
0.500,0.237,0.263
0.460,0.270,0.270
0.469,0.265,0.265
0.531,0.224,0.245
0.545,0.227,0.227
0.571,0.214,0.214
0.583,0.208,0.208
0.500,0.250,0.250
0.448,0.276,0.276
0.457,0.286,0.257
0.487,0.256,0.256
0.511,0.234,0.255
0.543,0.217,0.239
0.538,0.212,0.250
0.556,0.204,0.241
0.559,0.203,0.237
0.545,0.212,0.242
0.493,0.254,0.254
0.468,0.273,0.260
0.473,0.275,0.253
0.485,0.262,0.252
0.510,0.250,0.240
0.538,0.226,0.236
0.558,0.212,0.231
0.561,0.204,0.235
0.567,0.200,0.233
0.552,0.207,0.241
0.552,0.207,0.241
0.556,0.211,0.233
0.544,0.211,0.244
0.529,0.218,0.253
0.512,0.233,0.256
0.473,0.257,0.270
0.469,0.266,0.266
0.477,0.262,0.262
0.492,0.246,0.262
0.492,0.246,0.262
0.485,0.250,0.265
0.488,0.250,0.262
0.495,0.242,0.263
0.491,0.250,0.259
