aX,aY,aZ,gX,gY,gZ
-0.599,0.550,2.722,104.797,-53.772,16.418
-0.603,0.715,3.042,171.326,-24.780,30.334
-0.524,0.925,3.131,242.737,-3.662,49.438
-0.509,1.193,3.251,310.608,-1.038,73.669
-0.574,1.522,3.531,378.967,-14.526,101.135
-0.597,1.671,3.655,462.341,-40.039,123.779
-0.726,1.875,3.581,541.809,-63.354,146.301
-0.948,1.964,3.471,614.197,-74.158,172.058
-1.128,1.942,3.224,669.922,-68.237,209.290
-1.252,1.975,3.004,704.102,-46.936,254.883
-1.281,1.884,2.701,724.182,-14.648,293.579
-1.186,1.768,2.376,725.708,17.944,325.317
-1.070,1.610,2.123,713.806,49.866,346.741
-0.954,1.456,1.747,696.838,87.341,355.835
-0.773,1.360,1.318,673.706,130.493,357.239
-0.591,1.183,0.985,649.170,161.255,351.196
1.161,-0.424,0.268,622.192,164.917,346.497
0.716,0.839,0.020,596.375,191.223,384.277
0.505,0.850,-0.438,536.377,240.356,294.250
0.473,0.460,-0.653,494.690,216.309,185.547
0.014,0.276,-0.307,480.286,153.198,123.840
-0.336,0.496,0.142,467.224,97.290,81.238
-0.556,0.702,0.157,484.192,83.618,95.032
-0.630,1.101,-0.271,500.000,108.215,136.230
-0.551,1.620,-0.966,499.390,135.437,182.861
-0.411,2.009,-1.643,472.412,147.156,213.501
-0.211,2.289,-2.250,420.105,148.499,222.717
0.010,2.401,-2.720,352.356,142.944,218.567
0.019,2.375,-2.931,276.184,136.169,200.500
0.206,2.420,-2.948,200.134,109.314,188.965
0.429,2.252,-2.821,150.818,75.562,173.828
0.484,2.085,-2.596,125.793,70.374,119.690
0.686,1.658,-2.068,95.764,54.077,80.872
0.842,1.041,-1.306,84.778,32.715,26.733
0.728,0.485,-0.555,75.439,33.264,-20.081
0.472,0.032,-0.036,64.636,30.823,-29.968
0.567,-0.341,0.234,51.575,28.564,-7.751
0.733,-0.580,0.160,41.565,35.706,9.033
0.762,-0.483,-0.151,50.598,48.279,-0.854
0.658,-0.552,-0.453,57.800,30.151,13.916
0.462,-0.384,-0.746,68.787,20.874,0.916
0.117,-0.339,-1.068,84.534,36.682,-15.808
-0.272,-0.199,-1.317,75.806,41.138,-8.545
-0.223,-0.161,-1.464,36.011,30.212,35.217
0.018,-0.214,-1.672,-2.991,26.184,50.537
0.094,-0.021,-1.620,-31.921,29.175,43.396
0.242,-0.059,-1.444,-36.682,5.005,50.964
0.337,-0.075,-1.383,-19.287,5.798,20.386
0.273,-0.130,-1.211,-11.719,13.794,-12.207
0.223,-0.174,-0.978,-17.822,-10.742,-2.869
0.349,-0.257,-0.918,-20.508,-27.954,14.465
0.521,-0.372,-0.956,-20.020,-27.222,7.568
0.501,-0.419,-0.882,-21.423,-31.677,-3.662
0.442,-0.477,-0.738,-19.653,-43.579,8.057
0.483,-0.487,-0.714,-10.376,-39.612,18.677
0.523,-0.515,-0.824,3.540,-19.287,13.794
0.521,-0.473,-0.904,9.277,-8.606,12.817
0.488,-0.412,-0.876,3.845,-7.324,21.606
0.421,-0.346,-0.809,-5.615,-2.502,34.058
0.465,-0.299,-0.810,-9.460,1.709,44.189
0.546,-0.267,-0.862,-10.620,3.662,41.443
0.554,-0.270,-0.858,-10.193,0.732,32.410
0.500,-0.249,-0.849,-3.662,-6.470,26.123
0.474,-0.261,-0.888,5.859,-9.521,26.611
0.458,-0.264,-0.981,15.808,-2.686,21.240
0.422,-0.246,-1.032,19.775,3.540,12.390
