aX,aY,aZ,gX,gY,gZ
0.791,-2.469,0.086,-52.551,93.811,-73.792
0.859,-2.819,-0.055,-50.415,104.248,-95.703
0.944,-3.112,-0.236,-43.030,112.793,-113.586
0.834,-3.239,-0.381,-36.133,115.112,-133.728
0.575,-3.362,-0.641,-23.987,102.600,-156.677
0.255,-3.535,-1.034,-9.583,92.468,-168.945
-0.189,-3.479,-1.558,-1.892,90.454,-172.729
-0.456,-3.066,-2.238,-18.738,95.093,-163.208
-0.810,-2.749,-2.610,-69.031,104.431,-145.264
-1.367,-2.260,-2.613,-115.906,106.018,-113.281
-1.799,-1.317,-2.473,-126.770,89.233,-41.077
-1.336,0.907,-2.854,-115.234,44.678,63.049
-0.396,3.466,-3.115,-176.147,-7.446,124.390
0.958,4.000,-2.413,-365.234,-10.315,92.163
1.041,4.000,1.382,-682.129,65.918,-30.884
1.470,4.000,4.000,-888.000,194.763,-94.482
3.926,4.000,4.000,-766.968,279.541,-13.733
4.000,4.000,4.000,-461.975,265.442,48.157
2.220,2.929,4.000,-218.323,178.589,-16.174
-1.058,0.380,4.000,-17.090,54.810,-98.633
-3.113,-0.605,4.000,163.086,-113.342,-125.244
-2.850,-0.307,2.322,272.400,-159.973,-43.762
-1.467,0.244,0.322,281.921,4.883,62.988
-0.760,0.454,-1.216,232.178,239.197,114.868
-0.122,0.730,-1.991,160.583,354.187,130.066
0.638,0.759,-1.866,79.468,326.172,116.943
1.002,0.634,-1.061,15.320,204.285,72.937
0.942,0.494,-0.027,-24.719,51.392,20.020
0.518,0.226,0.724,-40.649,-66.650,-25.269
-0.195,-0.107,1.176,-36.926,-122.314,-58.167
-0.620,-0.324,1.422,-25.940,-128.845,-63.660
-0.514,-0.339,1.525,-16.418,-97.534,-38.086
-0.226,-0.279,1.412,-6.470,-34.546,-9.216
-0.010,-0.232,1.255,-2.502,36.621,7.263
0.067,-0.203,1.174,-4.395,77.209,12.817
0.098,-0.171,1.067,-3.357,79.285,13.977
0.102,-0.113,0.976,0.671,61.584,8.179
0.114,-0.097,0.904,6.348,41.016,1.465
0.092,-0.080,0.853,13.611,19.897,-5.127
0.022,-0.058,0.769,19.348,-0.916,-8.789
-0.042,-0.048,0.711,21.118,-18.250,-9.155
-0.033,-0.024,0.687,20.142,-29.480,-5.432
0.012,0.025,0.683,15.137,-31.921,-2.197
0.108,0.031,0.692,4.395,-26.367,-1.709
0.121,-0.056,0.804,-10.254,-17.151,-6.409
0.099,-0.112,0.938,-20.142,-14.038,-8.850
0.104,-0.122,0.994,-20.081,-19.897,-8.789
0.089,-0.130,0.994,-15.625,-26.917,-8.057
0.085,-0.116,0.962,-9.399,-26.062,-4.944
0.087,-0.101,0.913,-3.784,-18.738,-0.671
0.107,-0.112,0.862,-0.610,-9.460,2.991
0.134,-0.099,0.858,-2.136,-1.282,4.822
0.196,-0.083,0.872,-8.545,3.479,4.578
0.224,-0.112,0.942,-14.893,3.479,2.136
0.229,-0.129,0.998,-17.273,0.305,-0.061
0.205,-0.122,1.032,-16.113,-4.089,-2.136
0.147,-0.125,1.069,-12.268,-7.996,-4.089
0.107,-0.131,1.088,-5.920,-8.240,-3.479
0.105,-0.114,1.091,0.183,-4.578,0.183
0.121,-0.101,1.070,4.944,1.221,4.639
0.147,-0.106,1.012,8.789,6.714,7.812
0.182,-0.089,0.935,9.460,10.864,9.277
0.186,-0.102,0.892,6.714,13.855,7.263
0.151,-0.109,0.873,3.479,12.085,4.089
0.146,-0.100,0.877,1.709,7.019,3.357
0.147,-0.103,0.895,1.587,1.770,2.869
0.141,-0.119,0.952,0.977,-1.160,2.197
0.135,-0.133,1.010,2.380,-4.944,1.709
0.124,-0.139,1.021,6.592,-10.803,1.709
0.129,-0.112,0.994,10.681,-12.268,3.052
0.180,-0.096,0.932,10.437,-7.690,4.272
0.167,-0.127,0.931,4.333,1.099,3.418
0.169,-0.130,0.927,-0.977,8.362,3.174
0.200,-0.112,0.935,-4.333,10.620,3.296
0.179,-0.115,0.948,-5.676,8.057,0.854
0.149,-0.132,0.957,-3.601,3.113,-1.587
0.152,-0.132,0.951,0.610,-3.052,-1.770
0.146,-0.133,0.933,4.272,-7.507,-1.404
0.147,-0.117,0.917,7.019,-7.812,-0.061
0.164,-0.114,0.897,7.996,-4.517,1.343
0.162,-0.117,0.913,6.470,2.014,1.404
0.153,-0.111,0.935,4.456,7.751,1.160
0.150,-0.103,0.953,2.686,8.667,0.671
0.136,-0.107,0.988,2.136,4.883,-1.160
0.137,-0.118,1.016,3.418,-1.892,-2.747
0.124,-0.113,1.019,5.676,-10.681,-3.601
0.130,-0.112,1.000,8.362,-18.433,-3.601
0.117,-0.123,0.982,9.094,-20.874,-3.723
0.085,-0.157,0.968,10.132,-18.494,-4.517
0.070,-0.155,0.940,12.024,-12.695,-3.662
0.069,-0.159,0.928,11.780,-5.066,-1.282
0.087,-0.156,0.951,9.583,2.991,1.404
0.103,-0.153,0.984,7.385,9.277,3.296
0.140,-0.131,1.003,6.653,11.536,4.517
0.164,-0.123,1.007,6.226,9.949,4.150
0.150,-0.138,1.009,6.165,5.371,2.075
0.144,-0.139,1.003,6.287,1.587,1.343
0.143,-0.133,1.000,6.775,-0.854,0.671
0.126,-0.135,1.003,8.606,-3.174,-1.587
0.103,-0.129,1.004,11.414,-5.249,-2.014
0.093,-0.109,1.008,13.550,-7.324,-0.916
0.105,-0.103,1.023,16.846,-10.498,-1.038
0.109,-0.105,1.022,21.729,-14.587,-2.075
0.111,-0.106,1.003,25.513,-19.958,-2.258
0.085,-0.122,0.974,28.809,-25.879,-2.075
0.069,-0.132,0.931,30.090,-28.442,-1.465
0.069,-0.142,0.897,27.283,-25.391,0.488
0.065,-0.161,0.891,20.813,-16.235,2.991
0.063,-0.167,0.898,14.160,-3.235,6.287
0.070,-0.160,0.906,8.789,10.071,9.583
0.069,-0.164,0.898,5.554,20.020,12.268
0.090,-0.134,0.910,3.601,19.897,12.756
0.117,-0.132,0.940,6.531,10.315,7.568
0.126,-0.130,0.950,11.475,-4.028,1.892
0.139,-0.100,0.978,16.052,-16.174,-1.099
0.133,-0.111,0.997,20.996,-26.001,-4.517
0.098,-0.157,0.984,26.672,-31.921,-6.226
0.064,-0.210,0.964,30.823,-30.945,-5.127
0.018,-0.239,0.941,31.433,-21.606,-1.831

0.682,-2.290,-0.053,-72.205,134.949,-27.710
0.896,-2.534,-0.071,-75.012,152.405,-32.837
1.029,-2.625,-0.115,-72.937,163.940,-44.373
1.052,-2.671,-0.223,-65.002,159.729,-61.951
0.935,-2.777,-0.378,-50.415,148.376,-75.745
0.698,-2.788,-0.621,-30.640,140.930,-78.796
0.761,-2.436,-1.174,-15.198,136.108,-74.463
0.667,-2.220,-1.704,-32.043,121.399,-83.313
0.384,-2.084,-2.036,-74.463,109.863,-108.215
-0.013,-1.848,-2.085,-128.723,107.910,-118.835
-0.478,-1.408,-1.976,-168.457,90.454,-95.703
-0.870,-0.817,-1.680,-173.706,40.344,-44.556
-1.174,0.089,-1.396,-149.719,-40.222,22.339
-1.181,1.514,-1.127,-123.352,-134.705,94.116
-0.768,3.757,-0.946,-138.245,-227.600,139.465
0.924,4.000,-1.147,-267.273,-272.339,85.938
-0.151,4.000,1.551,-555.664,-173.218,-118.713
-0.376,4.000,4.000,-776.611,56.213,-223.083
0.813,4.000,4.000,-690.979,200.684,-128.174
2.133,3.509,4.000,-460.144,206.970,-14.954
1.697,2.785,4.000,-256.653,216.858,-2.014
0.125,0.965,4.000,-90.759,228.210,-43.640
-1.753,-0.054,3.616,22.156,119.019,-75.500
-2.067,-0.343,2.615,111.755,-49.988,-26.245
-1.196,0.039,1.469,170.105,-126.404,41.870
-0.200,0.323,0.467,172.607,-56.519,92.041
0.188,0.433,-0.210,143.677,75.500,107.666
0.354,0.380,-0.554,105.835,153.503,97.839
0.503,0.270,-0.434,63.477,140.747,75.623
0.422,0.062,-0.016,25.269,64.148,39.673
0.285,-0.090,0.457,4.456,-17.700,13.977
0.273,-0.150,0.781,-2.625,-59.021,3.967
0.277,-0.166,0.932,-7.263,-59.631,0.549
0.186,-0.202,0.989,-10.498,-44.556,-2.380
0.163,-0.207,0.972,-9.949,-32.104,-1.221
0.200,-0.172,0.921,-7.141,-21.790,2.686
0.163,-0.178,0.919,-5.920,-5.432,3.357
0.115,-0.225,0.946,-3.479,10.620,2.258
0.138,-0.202,0.952,0.732,16.418,4.700
0.171,-0.138,0.942,4.028,16.113,8.545
0.184,-0.072,0.896,7.385,16.052,10.315
0.199,-0.031,0.768,12.085,12.634,9.949
0.219,-0.006,0.669,11.108,7.080,9.277
0.255,-0.009,0.620,3.967,3.601,8.179
0.290,-0.007,0.629,-5.493,3.662,7.080
0.296,-0.014,0.695,-15.198,6.287,5.249
0.273,-0.047,0.795,-23.132,8.606,2.502
0.239,-0.077,0.883,-27.039,8.667,1.953
0.236,-0.084,0.953,-26.917,6.165,3.967
0.224,-0.080,1.001,-23.682,1.038,5.493
0.221,-0.079,1.010,-16.174,-3.540,5.493
0.252,-0.083,0.992,-8.606,-5.554,7.080
0.277,-0.074,0.977,-5.798,-4.395,8.972
0.314,-0.056,0.982,-7.690,0.977,9.705
0.331,-0.048,0.988,-12.878,10.010,8.240
0.322,-0.052,1.023,-20.142,19.836,4.883
0.278,-0.072,1.070,-24.536,26.550,2.075
0.262,-0.079,1.077,-22.888,27.588,1.892
0.261,-0.050,1.070,-17.700,24.353,3.601
0.265,-0.061,1.047,-10.803,19.043,3.723
0.270,-0.074,1.009,-3.235,13.062,5.188
0.290,-0.067,0.950,2.869,7.874,7.507
0.332,-0.033,0.907,4.822,3.235,8.301
0.336,-0.028,0.918,3.235,0.488,5.737
0.312,-0.057,0.956,1.587,-0.061,2.258
0.290,-0.053,0.993,-0.122,0.916,2.563
0.280,-0.043,1.016,-1.038,2.319,3.479
0.282,-0.066,1.022,0.366,2.991,3.479
0.275,-0.069,1.024,2.625,5.127,3.967
0.260,-0.078,1.007,7.751,6.836,3.784
0.271,-0.092,0.985,13.367,6.348,4.456
0.312,-0.080,0.963,16.296,2.808,6.714
0.349,-0.075,0.964,15.991,-0.244,6.042
0.353,-0.070,0.979,12.512,-0.793,4.089
0.325,-0.088,1.005,9.155,-0.671,1.892
0.295,-0.095,1.020,7.385,-0.671,1.282
0.270,-0.095,1.013,8.301,-0.732,2.075
0.237,-0.075,1.008,13.245,-3.235,-0.183
0.203,-0.093,0.966,18.005,-4.883,-0.061
0.213,-0.098,0.939,21.240,-6.042,2.258
0.227,-0.083,0.916,22.461,-6.775,3.540
0.252,-0.065,0.913,22.034,-6.348,4.639
0.279,-0.052,0.918,19.775,-5.127,4.456
0.289,-0.047,0.928,16.479,-3.784,2.869
0.284,-0.059,0.941,12.512,-2.380,0.916
0.267,-0.069,0.944,9.277,-2.136,-1.099
0.248,-0.088,0.932,7.935,-5.005,-2.686
0.213,-0.088,0.937,7.202,-9.460,-3.845
0.193,-0.104,0.952,7.568,-12.756,-4.272
0.201,-0.115,0.958,10.803,-13.733,-3.906
0.213,-0.104,0.957,14.038,-16.357,-3.113
0.201,-0.110,0.954,17.212,-19.348,-1.953
0.206,-0.114,0.946,19.348,-19.653,0.000
0.221,-0.115,0.939,20.081,-18.982,2.197
0.240,-0.115,0.921,19.348,-17.944,3.235
0.267,-0.110,0.899,16.785,-15.991,3.296
0.278,-0.108,0.895,12.512,-12.329,1.831
0.254,-0.128,0.892,8.850,-7.751,-1.343
0.215,-0.141,0.899,6.531,-5.188,-3.052
0.184,-0.155,0.907,5.920,-6.653,-3.723
0.167,-0.167,0.923,7.019,-10.620,-3.601
0.159,-0.177,0.945,9.338,-13.855,-2.686
0.176,-0.172,0.949,12.207,-15.076,-0.549
0.192,-0.161,0.945,14.954,-13.062,2.441
0.213,-0.155,0.932,16.235,-8.606,4.944
0.224,-0.134,0.923,15.564,-3.601,6.653
0.232,-0.133,0.917,13.794,-1.526,6.775
0.237,-0.139,0.905,11.841,-1.770,6.409
0.263,-0.115,0.912,9.338,-2.747,6.226
0.260,-0.100,0.908,8.972,-2.747,3.662
0.241,-0.112,0.885,10.193,-2.441,-0.244
0.223,-0.114,0.876,9.094,-1.282,-1.038
0.196,-0.105,0.871,6.775,-0.061,-1.160
0.182,-0.108,0.868,4.883,-1.648,-1.343
0.191,-0.121,0.889,3.174,-5.798,-1.160
0.210,-0.131,0.911,4.028,-8.850,-1.160
0.229,-0.123,0.927,4.639,-9.460,-0.427
0.237,-0.116,0.944,4.456,-8.545,0.305
0.238,-0.117,0.963,4.883,-7.141,0.122

0.400,-2.024,0.292,-39.307,11.841,-2.502
0.455,-2.105,0.191,-28.687,16.663,0.000
0.495,-2.093,0.040,-25.574,24.292,0.366
0.487,-2.103,-0.124,-29.480,33.020,-2.197
0.502,-2.056,-0.361,-42.236,37.170,-4.395
0.510,-2.155,-0.534,-66.589,32.715,-6.897
0.452,-2.185,-0.533,-97.290,19.226,-8.789
0.313,-2.136,-0.424,-120.667,-7.812,-8.606
0.163,-2.131,-0.251,-117.188,-54.871,-0.671
0.048,-1.960,-0.129,-83.496,-107.178,24.963
0.017,-1.534,-0.122,-26.794,-161.438,61.157
0.121,-0.877,-0.390,36.255,-216.309,96.741
0.681,0.586,-1.220,58.411,-245.850,112.427
1.021,1.616,-2.116,-28.503,-217.102,64.636
0.484,2.195,-1.826,-211.914,-110.718,-53.833
-0.422,2.977,-0.672,-401.489,26.794,-137.939
-1.022,3.506,0.711,-507.935,96.802,-135.376
-1.053,3.626,1.930,-508.484,75.073,-65.918
-0.539,3.492,2.815,-428.467,-0.793,21.606
0.459,3.486,3.412,-315.918,-38.147,103.699
1.906,3.804,3.835,-223.816,21.423,152.222
3.443,3.462,3.803,-179.443,122.986,119.690
2.825,1.756,3.890,-162.964,212.585,-12.817
0.397,0.274,3.825,-118.164,209.839,-155.701
-1.753,-0.488,3.227,-20.935,86.182,-193.359
-2.584,-0.693,2.196,89.294,-32.166,-143.005
-2.012,-0.421,1.198,155.396,-35.889,-47.546
-1.048,0.041,0.399,167.114,66.406,47.607
-0.305,0.330,-0.176,152.954,183.167,99.426
0.185,0.452,-0.476,129.883,227.539,115.356
0.605,0.580,-0.566,100.769,189.819,109.192
0.968,0.605,-0.517,59.265,105.835,80.933
0.962,0.464,-0.132,7.629,26.794,33.569
0.621,0.205,0.343,-40.283,-19.348,-16.968
0.205,-0.024,0.707,-67.444,-45.715,-47.180
-0.069,-0.172,0.941,-72.021,-67.810,-52.612
-0.134,-0.255,1.102,-63.904,-85.022,-41.565
-0.006,-0.242,1.182,-49.072,-86.975,-22.034
0.162,-0.198,1.188,-33.264,-69.153,-2.808
0.276,-0.122,1.136,-20.569,-39.551,9.277
0.341,-0.073,1.050,-12.207,-16.602,13.306
0.388,-0.052,0.959,-9.460,-6.409,10.315
0.392,-0.087,0.925,-13.428,-1.770,2.319
0.371,-0.138,0.930,-18.799,2.869,-3.784
0.371,-0.162,0.936,-21.667,9.827,-5.676
0.375,-0.157,0.894,-20.813,16.418,-5.920
0.379,-0.120,0.853,-19.287,15.747,-5.188
0.384,-0.068,0.857,-17.761,6.836,-3.662
0.400,-0.073,0.891,-13.672,-5.554,-3.967
0.411,-0.070,0.935,-8.301,-17.334,-3.601
0.410,-0.074,0.986,-3.906,-26.367,-3.235
0.384,-0.086,1.032,0.244,-30.701,-2.625
0.372,-0.100,1.057,3.052,-29.053,-2.258
0.345,-0.118,1.078,3.601,-24.658,-1.953
0.340,-0.108,1.067,3.601,-17.456,-0.122
0.344,-0.095,1.017,3.662,-8.728,0.793
0.335,-0.072,0.966,3.479,-5.493,-1.343
0.315,-0.084,0.939,2.808,-10.132,-5.127
0.304,-0.081,0.951,1.892,-16.602,-7.751
0.305,-0.096,0.957,3.113,-24.048,-8.911
0.301,-0.114,0.958,6.409,-29.419,-9.155
0.296,-0.121,0.944,9.583,-30.640,-7.935
0.322,-0.103,0.936,11.108,-28.198,-5.920
0.328,-0.104,0.939,11.292,-23.376,-6.042
0.295,-0.128,0.938,11.658,-20.081,-7.996
0.269,-0.146,0.939,13.306,-24.719,-9.460
0.236,-0.156,0.937,16.357,-34.973,-9.644
0.227,-0.156,0.935,17.944,-41.443,-8.301
0.224,-0.154,0.929,16.724,-39.917,-6.897
0.216,-0.168,0.938,13.428,-29.846,-5.188
0.216,-0.162,0.955,9.155,-14.954,-2.380
0.234,-0.137,0.964,7.629,-1.709,0.610
0.265,-0.140,0.923,9.644,5.737,0.671
0.259,-0.144,0.908,9.827,8.423,-0.305
0.230,-0.157,0.907,8.423,8.118,-1.709
0.214,-0.158,0.910,7.019,2.991,-2.197
0.220,-0.168,0.912,6.348,-2.991,-2.563
0.229,-0.172,0.913,5.432,-6.348,-2.625
0.247,-0.152,0.922,3.784,-5.615,-1.709
0.264,-0.144,0.914,3.174,-3.662,-0.671
0.281,-0.131,0.894,3.174,-2.258,-0.244
0.272,-0.131,0.884,2.563,-0.610,-0.427
0.234,-0.149,0.880,2.075,0.427,-1.526
0.209,-0.164,0.896,1.953,-2.319,-1.648
0.218,-0.156,0.931,2.502,-6.653,-0.732
0.231,-0.157,0.958,4.028,-9.521,-0.549
0.238,-0.157,0.966,6.104,-9.766,-0.427
0.243,-0.152,0.970,7.812,-9.338,0.854
0.247,-0.144,0.964,9.460,-7.568,1.770
0.248,-0.141,0.952,10.376,-5.615,2.136
0.242,-0.130,0.946,11.230,-3.174,1.953
0.237,-0.119,0.929,13.062,-0.183,1.343
0.247,-0.097,0.912,13.428,3.418,1.648
0.246,-0.081,0.912,12.756,8.728,1.282
0.232,-0.075,0.896,13.245,11.902,-0.549
0.227,-0.077,0.872,14.893,7.385,-1.953
0.227,-0.067,0.858,16.174,0.122,-1.831
0.227,-0.070,0.843,16.479,-4.700,-1.892
0.211,-0.093,0.827,16.418,-6.470,-2.075
0.189,-0.121,0.813,15.137,-4.578,-1.831
0.181,-0.135,0.821,11.536,-0.488,-1.221
0.184,-0.157,0.857,7.141,4.395,-1.038
0.195,-0.167,0.902,3.906,10.376,-0.305
0.227,-0.150,0.927,1.648,17.456,0.244
0.225,-0.137,0.930,-0.122,20.569,-1.648
0.225,-0.157,0.941,1.160,11.169,-6.165
0.219,-0.178,0.962,5.859,-7.751,-9.888
0.236,-0.192,0.977,12.268,-27.344,-10.315
0.250,-0.192,0.980,17.883,-38.452,-9.338
0.240,-0.194,0.978,21.484,-38.452,-8.850
0.225,-0.187,0.972,21.912,-30.579,-8.423
0.211,-0.193,0.967,20.264,-20.691,-6.409
0.214,-0.191,0.972,19.104,-8.545,-4.028
0.218,-0.188,0.960,18.127,5.432,-2.136
0.224,-0.188,0.931,17.151,20.996,0.122
0.248,-0.174,0.900,15.503,33.142,1.526
0.248,-0.164,0.878,14.893,35.339,-0.244
0.236,-0.177,0.877,15.686,26.550,-3.662
0.219,-0.183,0.894,17.456,12.390,-5.920

-0.619,1.951,1.221,-223.694,161.011,5.066
-0.636,2.588,1.382,-181.213,96.130,63.599
-0.376,2.878,1.639,-156.921,26.978,106.018
0.539,3.030,1.882,-167.358,7.141,126.038
1.759,2.855,2.335,-221.741,75.012,110.107
2.250,2.250,2.965,-267.883,194.336,42.358
1.709,1.467,3.243,-252.991,264.832,-43.457
0.617,0.650,3.006,-173.706,214.600,-105.835
-0.475,0.058,2.611,-74.036,59.143,-132.080
-1.024,-0.228,2.192,5.432,-91.980,-120.850
-1.102,-0.296,1.767,62.805,-141.296,-79.834
-0.894,-0.190,1.232,105.591,-79.834,-25.635
-0.605,0.087,0.547,125.732,39.612,30.457
-0.331,0.306,-0.109,109.924,146.179,66.528
0.072,0.441,-0.369,61.523,198.364,73.486
0.418,0.389,-0.267,10.498,187.073,46.143
0.556,0.252,0.036,-22.766,128.235,11.658
0.528,0.190,0.354,-36.072,52.185,-7.629
0.388,0.096,0.555,-33.813,-9.033,-21.423
0.173,-0.005,0.670,-27.405,-43.152,-28.320
-0.004,-0.063,0.742,-23.193,-54.199,-25.635
-0.026,-0.072,0.842,-24.597,-49.072,-16.418
0.093,-0.021,0.923,-27.649,-34.790,-4.272
0.206,0.018,0.954,-28.137,-19.348,2.319
0.290,0.058,0.939,-28.503,-11.169,2.625
0.367,0.079,0.980,-32.166,-11.963,-0.977
0.366,0.052,1.030,-32.837,-16.235,-7.385
0.300,-0.001,1.066,-29.175,-18.738,-12.817
0.248,-0.013,1.068,-24.414,-16.296,-13.428
0.194,-0.006,1.043,-20.325,-10.010,-11.292
0.162,-0.011,1.017,-16.602,-1.282,-7.996
0.183,-0.009,0.996,-12.939,7.263,-2.991
0.250,0.002,0.995,-9.888,15.991,2.747
0.322,-0.010,0.978,-6.409,21.362,6.897
0.390,-0.012,0.950,-4.700,19.043,8.240
0.422,-0.009,0.937,-4.700,9.705,7.629
0.436,0.004,0.937,-5.615,-0.305,4.761
0.429,-0.010,0.944,-7.324,-7.202,-0.793
0.376,-0.034,0.966,-8.362,-11.475,-5.554
0.318,-0.057,0.990,-8.545,-13.733,-7.874
0.279,-0.067,1.020,-8.423,-13.000,-7.324
0.278,-0.070,1.051,-7.080,-8.484,-5.005
0.289,-0.073,1.064,-4.700,0.610,-2.014
0.311,-0.062,1.067,-2.136,10.925,0.610
0.312,-0.053,1.054,0.488,17.395,1.953
